orig_index,qkey,question_raw,k,ordinal,references,D_O,p_scale_order,options_scale_order,R_O,entropy,norm_entropy,eff_options,mean_pos,sd,mean_pos_midpoint,sd_midpoint,bd_ratio,n_modes,n_modes_strict,has_inserted_midpoint,stored_in_scale_order,keep_core,keep_core_k4,exclude_reason
1,WORLDDANGER_W26,"Compared to 50 years ago, do you think",3,"[1.0, 2.0, 1.5]","['We live in a safer world', 'We live in a more dangerous world', 'The world we live in is neither safer nor more dangerous', 'Refused']","[0.09402386, 0.69377638, 0.21219976]","[0.094024, 0.212200, 0.693776]",We live in a safer world | The world we live in is neither safer nor more dangerous | We live in a more dangerous world,0.0056558443308429,1.1612226392171316,0.7326499136028624,2.2364688110731032,0.79987626,0.3271456689128138,0.6999175066666667,0.21809711260854256,0.6685916250562559,1,1,True,False,True,False,
34,GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.30079907, 0.29173647, 0.27344811, 0.13401634]","[0.300799, 0.291736, 0.273448, 0.134016]",A great deal | A fair amount | Not too much | Not at all,0.0055760571124183,1.9399271947922785,0.9699635973961392,3.8368628461889958,0.41356057,0.3419527012579639,0.43517042625,0.25646452594347297,0.4821362541449834,0,1,False,True,True,True,
35,GUNCONTRIBB_W26,"How much, if at all, do you think the ease with which people can illegally obtain guns contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.53300172, 0.33057745, 0.08660229, 0.04981855]","[0.533002, 0.330577, 0.086602, 0.049819]",A great deal | A fair amount | Not too much | Not at all,0.0045170229832608,1.5329968280809283,0.7664984140404641,2.893863409266399,0.21774589333333333,0.278614448396069,0.28830942125000003,0.20896083629705178,0.4557319155181219,1,1,False,True,True,True,
36,GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.2550362, 0.3031824, 0.34531886, 0.09646255]","[0.255036, 0.303182, 0.345319, 0.096463]",A great deal | A fair amount | Not too much | Not at all,0.0053275387893148,1.8799084415496456,0.9399542207748228,3.680517016663088,0.4277359233333333,0.31727986690299653,0.44580194375,0.23795990017724744,0.4112565416089113,0,1,False,True,True,True,
37,GUNCONTRIBD_W26,"How much, if at all, do you think lack of economic opportunities contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.24230864, 0.42593064, 0.25128534, 0.08047538]","[0.242309, 0.425931, 0.251285, 0.080475]",A great deal | A fair amount | Not too much | Not at all,0.0063373357443678,1.813257991917241,0.9066289959586205,3.514350275267105,0.38997582,0.2956386981018006,0.417481865,0.22172902357635046,0.36739888375467683,1,1,False,True,True,True,
38,GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.27694888, 0.32011159, 0.27313091, 0.12980862]","[0.276949, 0.320112, 0.273131, 0.129809]",A great deal | A fair amount | Not too much | Not at all,0.0039817575267775,1.9328005641154289,0.9664002820577144,3.817956231835589,0.4185997566666667,0.33397954086831044,0.43894981749999995,0.25048465565123285,0.458316556172927,0,1,False,True,True,True,
39,GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",4,"[1.0, 2.0, 3.0, 4.0]","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']","[0.29347778, 0.44683119, 0.22687249, 0.03281854]","[0.293478, 0.446831, 0.226872, 0.032819]",A great deal | A fair amount | Not too much | Not at all,0.0045107244819302,1.6856653202262637,0.8428326601131318,3.216887136190907,0.33301059666666666,0.2690773314225642,0.37475794749999997,0.2018079985669231,0.3259697026345795,1,1,False,True,True,True,
80,PREDICTA_W27,Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,4,"[1.0, 2.0, 3.0, 4.0]","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[0.21055229, 0.58273131, 0.1841761, 0.0225403]","[0.210552, 0.582731, 0.184176, 0.022540]",Will definitely happen | Will probably happen | Will probably not happen | Will definitely not happen,0.0044667339564668,1.5001438434543464,0.7500719217271732,2.8287091462404037,0.3395681366666667,0.23202962814801426,0.3796761025,0.17402222111101068,0.2400667087133144,1,1,False,True,True,True,
81,PREDICTB_W27,Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,4,"[1.0, 2.0, 3.0, 4.0]","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[0.13474898, 0.51790387, 0.32301971, 0.02432744]","[0.134749, 0.517904, 0.323020, 0.024327]",Will definitely happen | Will probably happen | Will probably not happen | Will definitely not happen,0.002436356294587,1.5383113602158605,0.7691556801079302,2.9045433462289947,0.41230853666666667,0.23545339367227644,0.4342314025,0.17659004525420732,0.22879061191449965,1,1,False,True,True,True,
82,PREDICTC_W27,Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,4,"[1.0, 2.0, 3.0, 4.0]","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[0.11881897, 0.53483814, 0.30801619, 0.0383267]","[0.118819, 0.534838, 0.308016, 0.038327]",Will definitely happen | Will probably happen | Will probably not happen | Will definitely not happen,0.0022170148205546,1.5516576800814144,0.7758288400407072,2.931537842158349,0.42195020666666666,0.23792281844833993,0.441462655,0.17844211383625497,0.23208428675800383,1,1,False,True,True,True,
83,PREDICTD_W27,"Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer",4,"[1.0, 2.0, 3.0, 4.0]","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[0.06893543, 0.36449297, 0.49939635, 0.06717526]","[0.068935, 0.364493, 0.499396, 0.067175]",Will definitely happen | Will probably happen | Will probably not happen | Will definitely not happen,0.0028318615502466,1.5586868267297682,0.7793434133648841,2.945855830068165,0.5216038166666667,0.23991222015915326,0.5162028637499999,0.17993416511936497,0.23066211653485738,1,1,False,True,True,True,
86,CARS3A_W27,"How enthusiastic are you, if at all, about the development of driverless vehicles?",4,"[1.0, 2.0, 3.0, 4.0]","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']","[0.11468049, 0.28320657, 0.38469291, 0.21742003]","[0.114680, 0.283207, 0.384693, 0.217420]",Very enthusiastic | Somewhat enthusiastic | Not too enthusiastic | Not at all enthusiastic,0.0026831416227731,1.8825835659182903,0.9412917829591452,3.6873479646286618,0.5682841599999999,0.3113120088053587,0.55121312,0.23348400660401902,0.39502830306441644,1,1,False,True,True,True,
87,CARS3B_W27,"How worried are you, if at all, about the development of driverless vehicles?",4,"[1.0, 2.0, 3.0, 4.0]","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']","[0.14255533, 0.39483831, 0.35174057, 0.1108658]","[0.142555, 0.394838, 0.351741, 0.110866]",Very worried | Somewhat worried | Not too worried | Not at all worried,0.0013501754332916,1.8119939903799325,0.9059969951899662,3.51127256402195,0.4769722833333333,0.2890731892832117,0.48272921375,0.2168048919624088,0.3349637275967085,0,1,False,True,True,True,
92,CARS8_W27,"If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?",3,"[1.0, 2.0, 1.5]","['Increase', 'Decrease', 'Stay about the same', 'Refused']","[0.30123797, 0.39174082, 0.3070212]","[0.301238, 0.307021, 0.391741]",Increase | Stay about the same | Decrease,0.0048779857468754,1.5741332895438545,0.9931675284605318,2.9775655927415707,0.54525142,0.4137595993025328,0.5301676116666667,0.2758397328683552,0.6904432820719937,1,1,True,False,True,False,
93,CARS9A_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes",4,"[1.0, 2.0, 3.0, 4.0]","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']","[0.46836865, 0.36280527, 0.11777945, 0.05104663]","[0.468369, 0.362805, 0.117779, 0.051047]",Strongly favor | Favor | Oppose | Strongly oppose,0.0043455960935911,1.6257580194313834,0.8128790097156917,3.086042690478177,0.2505013533333333,0.2845238493818354,0.312876015,0.21339288703637657,0.4311778294656041,1,1,False,True,True,True,
94,CARS9B_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools",4,"[1.0, 2.0, 3.0, 4.0]","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']","[0.34003937, 0.34824107, 0.2443725, 0.06734706]","[0.340039, 0.348241, 0.244372, 0.067347]",Strongly favor | Favor | Oppose | Strongly oppose,0.0037582495905017,1.8180487056611327,0.9090243528305664,3.5260396693944505,0.34634241666666665,0.30772949588837806,0.38475681249999993,0.23079712191628354,0.4182946055518757,0,1,False,True,True,True,
95,CARS9C_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation",4,"[1.0, 2.0, 3.0, 4.0]","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']","[0.53203674, 0.3386705, 0.09810964, 0.03118312]","[0.532037, 0.338670, 0.098110, 0.031183]",Strongly favor | Favor | Oppose | Strongly oppose,0.0031763253382698,1.4980126763138384,0.7490063381569192,2.824533626569796,0.20947971333333332,0.26179325755600447,0.282109785,0.19634494316700335,0.4138680720803935,1,1,False,True,True,True,
101,WORK2_W27,"On a different subject, would you say that society generally places too much importance on working and having a job, not enough importance on working and having a job, or is it just about right?",3,"[1.0, 2.0, 1.5]","['Too much importance', 'Not enough importance', 'Just about right', 'Refused']","[0.18721024, 0.50166472, 0.31112505]","[0.187210, 0.311125, 0.501665]",Too much importance | Just about right | Not enough importance,0.0031267951165907,1.4758659736744986,0.9311677550749505,2.781505529637583,0.657227245,0.3840551200663604,0.604818165,0.256036746710907,0.6547345589701972,1,1,True,False,True,False,
